"","gene_name","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00491","gshAB",309,275,315,239,0,335
"NBCAEPAK_00492","ftsY",74,61,76,23,0,42
"NBCAEPAK_00493","yidA_1",66,53,56,14,0,33
"NBCAEPAK_00494","smc_2",269,374,429,143,0,314
"NBCAEPAK_00495","rnc",15,25,42,5,0,15
"NBCAEPAK_00496","appA",275,267,299,387,0,842
"NBCAEPAK_00497","",108,63,65,42,0,105
"NBCAEPAK_00498","gsiC",76,73,69,58,0,116
"NBCAEPAK_00499","oppF_1",99,107,121,95,0,150
"NBCAEPAK_00500","oppD_1",76,74,86,85,0,212
"NBCAEPAK_00501","",26,22,40,74,0,63
"NBCAEPAK_00502","acpP",44,59,63,16,0,22
"NBCAEPAK_00503","plsX",197,257,203,54,0,113
"NBCAEPAK_00504","recG",103,117,133,45,0,72
"NBCAEPAK_00505","",641,759,811,350,0,661
"NBCAEPAK_00506","",49,43,68,18,0,47
"NBCAEPAK_00507","rpmB",26,14,26,13,0,13
"NBCAEPAK_00508","",176,160,167,60,0,131
"NBCAEPAK_00509","",74,38,50,20,0,22
"NBCAEPAK_00510","",16,26,34,5,0,7
"NBCAEPAK_00511","",36,10,13,5,0,9
"NBCAEPAK_00512","",27,54,26,21,0,19
"NBCAEPAK_00513","",34,35,33,39,0,46
"NBCAEPAK_00514","",15,31,29,7,0,16
"NBCAEPAK_00515","lrpC",109,90,113,54,0,63
"NBCAEPAK_00516","",103,111,126,45,0,71
"NBCAEPAK_00517","truA",49,44,49,15,0,16
"NBCAEPAK_00518","ecfT",47,51,42,20,0,39
"NBCAEPAK_00519","ecfA2",79,79,67,22,0,37
"NBCAEPAK_00520","ecfA1",110,109,107,54,0,94
"NBCAEPAK_00521","rplQ",356,319,417,42,0,59
"NBCAEPAK_00522","rpoA",996,912,1223,70,0,155
"NBCAEPAK_00523","rpsK",258,294,442,30,0,50
"NBCAEPAK_00524","rpsM",995,1669,1413,90,0,200
"NBCAEPAK_00525","rpmJ",215,261,339,13,0,30
"NBCAEPAK_00526","infA",443,406,433,19,0,49
"NBCAEPAK_00527","adk",1020,1109,1634,40,0,115
"NBCAEPAK_00528","secY",3372,3398,4149,275,0,577
"NBCAEPAK_00529","rplO",287,231,301,27,0,47
"NBCAEPAK_00530","rpmD",86,72,75,8,0,8
"NBCAEPAK_00531","rpsE",651,619,596,59,0,108
"NBCAEPAK_00532","rplR",307,246,398,35,0,34
"NBCAEPAK_00533","rplF",509,506,682,48,0,72
"NBCAEPAK_00534","rpsH",279,367,429,21,0,54
"NBCAEPAK_00535","rpsN1",322,272,394,24,0,56
"NBCAEPAK_00536","rplE",1029,718,889,30,0,125
"NBCAEPAK_00537","rplX",321,360,359,24,0,40
"NBCAEPAK_00538","rplN",512,579,760,52,0,107
"NBCAEPAK_00539","rpsQ",1013,1399,1876,118,0,209
"NBCAEPAK_00540","rpmC",209,224,282,21,0,39
"NBCAEPAK_00541","rplP",414,487,547,40,0,110
"NBCAEPAK_00542","rpsC",2044,2732,3328,154,0,396
"NBCAEPAK_00543","rplV",509,413,511,44,0,74
"NBCAEPAK_00544","rpsS",108,65,116,34,0,57
"NBCAEPAK_00545","rplB",729,865,1175,81,0,135
"NBCAEPAK_00546","rplW",144,203,240,22,0,50
"NBCAEPAK_00547","rplD",301,431,538,39,0,104
"NBCAEPAK_00548","rplC",573,651,898,81,0,123
"NBCAEPAK_00549","rpsJ",301,268,439,20,0,36
"NBCAEPAK_00550","tuf_1",2759,3110,4149,491,0,991
"NBCAEPAK_00551","fus",2955,3330,4207,457,0,841
"NBCAEPAK_00552","rpsG",250,229,328,34,0,55
"NBCAEPAK_00553","rpsL",669,888,1030,49,0,103
"NBCAEPAK_00554","rpiA",61,52,62,13,0,30
"NBCAEPAK_00555","hin",101,100,140,35,0,42
"NBCAEPAK_00556","gpmA_1",1093,958,1312,214,0,498
"NBCAEPAK_00557","deoD",287,288,325,120,0,219
"NBCAEPAK_00558","punA",128,190,215,84,0,138
"NBCAEPAK_00559","deoB",319,385,379,115,0,222
"NBCAEPAK_00560","",180,130,224,79,0,108
"NBCAEPAK_00561","",320,319,353,126,0,284
"NBCAEPAK_00562","mglA",269,248,306,160,0,218
"NBCAEPAK_00563","tmpC",864,1022,1140,834,0,1277
"NBCAEPAK_00564","cdd",92,83,83,23,0,42
"NBCAEPAK_00565","deoC",197,178,232,67,0,118
"NBCAEPAK_00566","pdp",98,87,119,8,0,40
"NBCAEPAK_00567","degA_2",34,32,37,11,0,21
"NBCAEPAK_00568","rsmC",112,195,125,31,0,44
"NBCAEPAK_00569","coaA",49,70,77,34,0,32
"NBCAEPAK_00570","guaA_1",833,842,1002,200,0,373
"NBCAEPAK_00571","ganB",137,135,169,73,0,97
"NBCAEPAK_00572","lacE_1",14,8,11,14,0,26
"NBCAEPAK_00573","lacF_2",2,2,4,0,0,0
"NBCAEPAK_00574","lacG_1",4,8,4,6,0,4
"NBCAEPAK_00575","lacR_1",74,132,97,25,0,43
"NBCAEPAK_00576","yvdM_1",49,54,52,22,0,8
"NBCAEPAK_00577","",40,40,46,14,0,23
"NBCAEPAK_00578","",0,2,2,1,0,2
"NBCAEPAK_00579","",2,7,4,4,0,5
"NBCAEPAK_00580","",21,13,20,4,0,6
"NBCAEPAK_00581","",374,441,398,73,0,48
"NBCAEPAK_00582","",142,179,138,127,0,147
"NBCAEPAK_00583","",10,10,14,0,0,2
"NBCAEPAK_00584","",0,3,0,0,0,0
"NBCAEPAK_00585","",14,19,8,4,0,5
"NBCAEPAK_00586","",98,68,80,16,0,25
"NBCAEPAK_00587","zupT",77,111,88,87,0,115
"NBCAEPAK_00588","pox5",69,83,94,46,0,77
"NBCAEPAK_00589","",91,63,104,64,0,108
"NBCAEPAK_00590","ybiT_1",179,215,208,51,0,76
"NBCAEPAK_00591","",142,157,155,37,0,45
"NBCAEPAK_00592","purA",123,154,186,168,0,301
"NBCAEPAK_00593","dnaC",101,86,79,22,0,33
"NBCAEPAK_00594","rplI",30,34,35,35,0,58
"NBCAEPAK_00595","gdpP",110,124,137,62,0,96
"NBCAEPAK_00596","rpsR",66,64,75,13,0,38
"NBCAEPAK_00597","ssb_1",505,476,652,145,0,220
"NBCAEPAK_00598","rpsF",248,150,250,42,0,95
"NBCAEPAK_00599","gyrA",525,560,613,175,0,313
"NBCAEPAK_00600","gyrB",349,356,438,75,0,147
"NBCAEPAK_00601","recF",210,223,324,74,0,116
"NBCAEPAK_00602","",6,14,15,5,0,3
"NBCAEPAK_00603","dnaN",88,96,128,38,0,61
"NBCAEPAK_00604","dnaA",91,92,112,22,0,71
"NBCAEPAK_00605","rpmH",9,14,10,0,0,1
"NBCAEPAK_00606","rnpA",35,20,20,3,0,1
"NBCAEPAK_00607","misCA",132,150,202,25,0,29
"NBCAEPAK_00608","",100,152,141,48,0,65
"NBCAEPAK_00609","",108,130,81,10,0,7
"NBCAEPAK_00610","mnmE",96,136,138,10,0,15
"NBCAEPAK_00611","mnmG_1",103,125,166,42,0,43
"NBCAEPAK_00612","rsmG",77,113,120,21,0,28
"NBCAEPAK_00613","soj_1",92,117,99,19,0,34
"NBCAEPAK_00614","parB",141,143,181,49,0,80
"NBCAEPAK_00615","",26,43,41,6,0,9
"NBCAEPAK_00616","ychF",231,305,304,77,0,115
"NBCAEPAK_00617","",34,47,66,15,0,22
"NBCAEPAK_00618","guaB",409,418,472,426,0,704
"NBCAEPAK_00619","serS",123,101,112,50,0,68
"NBCAEPAK_00620","walK_1",93,130,145,71,0,117
"NBCAEPAK_00621","srrA_1",34,41,54,22,0,21
"NBCAEPAK_00634","ctsR",8,4,6,0,0,9
"NBCAEPAK_00635","clpC",217,228,241,206,0,360
"NBCAEPAK_00636","ydcP_1",41,74,76,4,0,14
"NBCAEPAK_00637","ydcP_2",99,114,102,16,0,37
"NBCAEPAK_00638","gor",171,135,190,62,0,135
"NBCAEPAK_00639","menA",12,23,9,0,0,0
"NBCAEPAK_00640","apbE",35,44,32,7,0,15
"NBCAEPAK_00641","",114,129,106,45,0,86
"NBCAEPAK_00642","yjlD",173,176,218,44,0,113
"NBCAEPAK_00643","",79,69,81,8,0,17
"NBCAEPAK_00644","",164,186,144,15,0,24
"NBCAEPAK_00645","hepT",144,244,182,16,0,15
"NBCAEPAK_00646","",304,411,370,55,0,58
"NBCAEPAK_00647","",84,68,93,35,0,70
"NBCAEPAK_00648","birA",83,92,84,44,0,62
"NBCAEPAK_00649","yxdL_1",16,25,20,2,0,8
"NBCAEPAK_00650","lsrC_1",94,147,89,31,0,46
"NBCAEPAK_00651","",37,42,45,6,0,9
"NBCAEPAK_00652","rpoB",1174,1371,1578,274,0,539
"NBCAEPAK_00653","rpoC",2007,1738,2147,437,0,856
"NBCAEPAK_00654","purR_1",69,50,62,21,0,35
"NBCAEPAK_00655","",7,16,9,0,0,1
"NBCAEPAK_00656","msmE",1,4,4,1,0,0
"NBCAEPAK_00657","ycjO",41,51,60,21,0,16
"NBCAEPAK_00658","ycjP",22,33,20,11,0,6
"NBCAEPAK_00659","adh",3,0,0,0,0,0
"NBCAEPAK_00660","",0,0,0,0,0,0
"NBCAEPAK_00661","rifL",8,2,8,0,0,3
"NBCAEPAK_00662","kojP",24,36,25,3,0,8
"NBCAEPAK_00663","glxK",41,37,41,10,0,13
"NBCAEPAK_00664","yvdM_2",26,59,38,22,0,18
"NBCAEPAK_00665","msrA_1",35,31,43,22,0,57
"NBCAEPAK_00666","comC",239,207,285,110,0,154
"NBCAEPAK_00667","xylB_1",108,143,115,85,0,93
"NBCAEPAK_00668","dps",388,496,630,205,0,372
"NBCAEPAK_00669","rplM",485,509,768,82,0,92
"NBCAEPAK_00670","rpsI",87,112,155,48,0,50
"NBCAEPAK_00671","xerD_1",99,93,75,29,0,25
"NBCAEPAK_00672","znuC_2",21,16,13,5,0,11
"NBCAEPAK_00673","",3,9,2,12,0,7
"NBCAEPAK_00674","mntB_2",29,43,43,55,0,74
"NBCAEPAK_00675","ssaB_2",15,18,17,9,0,11
"NBCAEPAK_00676","mntR",2,2,0,0,0,0
"NBCAEPAK_00677","",4,9,5,7,0,8
"NBCAEPAK_00678","",6,5,5,1,0,0
"NBCAEPAK_00679","",41,58,36,19,0,14
"NBCAEPAK_00680","ykoD",9,19,20,9,0,30
"NBCAEPAK_00681","",14,7,7,5,0,9
"NBCAEPAK_00682","irtA",11,11,20,13,0,19
"NBCAEPAK_00683","ndvA",30,38,37,26,0,29
"NBCAEPAK_00684","rpsN2_2",1,0,6,1,0,3
"NBCAEPAK_00685","rpmF_1",0,0,0,0,0,0
"NBCAEPAK_00686","",6,10,5,7,0,2
"NBCAEPAK_00687","rpmGA_1",2,2,1,0,0,1
"NBCAEPAK_00688","yjiA",9,7,8,14,0,16
"NBCAEPAK_00689","",0,4,0,1,0,1
"NBCAEPAK_00690","znuA_2",25,14,26,4,0,13
"NBCAEPAK_00691","",2,2,2,0,0,1
"NBCAEPAK_00692","",46,57,46,14,0,26
"NBCAEPAK_00693","yciC",24,30,23,13,0,9
"NBCAEPAK_00694","",179,214,152,22,0,21
"NBCAEPAK_00695","",46,81,106,1,0,4
"NBCAEPAK_00696","",209,200,206,38,0,62
"NBCAEPAK_00697","",3,3,4,1,0,0
"NBCAEPAK_00698","",11,18,10,2,0,2
"NBCAEPAK_00699","araC_2",5,12,2,4,0,9
"NBCAEPAK_00700","",0,0,2,0,0,2
"NBCAEPAK_00701","bca",40,55,58,0,0,13
"NBCAEPAK_00702","noxE",57,39,69,13,0,22
"NBCAEPAK_00703","",14,9,23,0,0,5
"NBCAEPAK_00704","",6,9,11,10,0,25
"NBCAEPAK_00705","ribZ_2",25,38,37,16,0,18
"NBCAEPAK_00706","",21,16,22,4,0,7
"NBCAEPAK_00707","",218,218,238,58,0,81
"NBCAEPAK_00708","pgdS",54,37,71,8,0,9
"NBCAEPAK_00709","",12,7,10,5,0,5
"NBCAEPAK_00710","",8,5,12,0,0,1
"NBCAEPAK_00711","",1,2,0,1,0,0
"NBCAEPAK_00712","",4,1,3,0,0,0
"NBCAEPAK_00713","ltrA_1",0,0,0,0,0,0
"NBCAEPAK_00714","",0,0,0,0,0,0
"NBCAEPAK_00715","",1,5,0,0,0,2
"NBCAEPAK_00716","",1,0,1,0,0,0
"NBCAEPAK_00717","banIM",0,0,1,0,0,0
"NBCAEPAK_00718","hhaIM",3,0,3,2,0,0
"NBCAEPAK_00719","",8,4,2,4,0,11
"NBCAEPAK_00720","pezT",15,28,23,16,0,41
"NBCAEPAK_00721","",3,0,0,3,0,2
"NBCAEPAK_00722","ltrA_2",0,0,0,0,0,0
"NBCAEPAK_00723","ftsK_1",21,9,21,4,0,7
"NBCAEPAK_00724","",7,2,2,0,0,0
"NBCAEPAK_00725","",1,0,0,1,0,0
"NBCAEPAK_00726","",2,1,0,0,0,0
"NBCAEPAK_00727","",118,120,124,10,0,32
"NBCAEPAK_00728","",5,9,2,0,0,1
"NBCAEPAK_00729","rbbA",14,8,14,21,0,22
"NBCAEPAK_00730","",4,9,11,2,0,4
"NBCAEPAK_00731","arlR_1",14,37,53,6,0,22
"NBCAEPAK_00732","phoR_2",32,13,39,10,0,20
"NBCAEPAK_00733","mutS_2",79,66,85,37,0,68
"NBCAEPAK_00734","",6,5,12,2,0,0
"NBCAEPAK_00735","drrA",114,154,149,24,0,52
"NBCAEPAK_00736","yadH",52,38,47,8,0,17
"NBCAEPAK_00737","dus_1",86,89,93,20,0,29
"NBCAEPAK_00738","",482,466,470,54,0,75
"NBCAEPAK_00739","",24,17,19,8,0,25
"NBCAEPAK_00740","ygaZ_1",19,18,25,17,0,9
"NBCAEPAK_00741","xylB_2",0,0,0,0,0,0
"NBCAEPAK_00742","",11,9,8,6,0,12
"NBCAEPAK_00743","soxS",11,14,13,4,0,11
"NBCAEPAK_00744","",8,10,5,9,0,13
"NBCAEPAK_00745","ywnA",12,15,4,9,0,8
"NBCAEPAK_00746","qorB",6,13,5,11,0,10
"NBCAEPAK_00747","",3,4,8,0,0,2
"NBCAEPAK_00748","ptsG_2",46,49,62,11,0,6
"NBCAEPAK_00749","sacY",7,7,8,0,0,0
"NBCAEPAK_00750","benM",28,33,43,25,0,32
"NBCAEPAK_00751","",18,26,22,12,0,14
"NBCAEPAK_00752","",14,22,18,17,0,36
"NBCAEPAK_00753","",186,214,234,20,0,41
"NBCAEPAK_00754","",18,20,21,0,0,5
"NBCAEPAK_00755","yodC_1",12,20,14,3,0,7
"NBCAEPAK_00756","yodC_2",11,5,9,2,0,3
"NBCAEPAK_00757","ettA_1",63,73,73,66,0,48
"NBCAEPAK_00758","",49,49,50,54,0,39
"NBCAEPAK_00759","",22,32,36,12,0,25
"NBCAEPAK_00760","yfmO_1",0,0,0,0,0,0
"NBCAEPAK_00761","yfmO_2",13,16,18,5,0,6
"NBCAEPAK_00762","",9,6,11,7,0,12
"NBCAEPAK_00763","",185,233,189,160,0,204
"NBCAEPAK_00764","proA",390,389,402,275,0,387
"NBCAEPAK_00765","proB",123,139,125,72,0,105
"NBCAEPAK_00766","dut",35,22,16,3,0,11
"NBCAEPAK_00767","radA",141,180,171,75,0,116
"NBCAEPAK_00768","yacL",70,101,86,42,0,78
"NBCAEPAK_00769","gltX",273,408,347,116,0,176
"NBCAEPAK_00770","cysE",60,52,70,4,0,11
"NBCAEPAK_00771","cysS",108,152,156,19,0,31
"NBCAEPAK_00772","mrnC",20,18,17,4,0,11
"NBCAEPAK_00773","",52,70,57,7,0,22
"NBCAEPAK_00774","",38,25,46,1,0,18
"NBCAEPAK_00775","sigH",0,12,5,0,0,0
"NBCAEPAK_00776","",24,28,20,16,0,46
"NBCAEPAK_00777","",35,35,29,31,0,30
"NBCAEPAK_00778","mscL",182,141,156,99,0,146
"NBCAEPAK_00779","",47,43,52,10,0,20
"NBCAEPAK_00780","albF",48,24,37,14,0,37
"NBCAEPAK_00781","",59,53,87,23,0,37
"NBCAEPAK_00782","pgsA",52,47,75,19,0,28
"NBCAEPAK_00783","cinA",115,82,127,11,0,34
"NBCAEPAK_00784","recA",135,181,163,66,0,149
"NBCAEPAK_00785","rny_1",299,285,337,236,0,448
"NBCAEPAK_00786","proC",64,75,69,36,0,32
"NBCAEPAK_00787","mprF_1",146,150,191,75,0,151
"NBCAEPAK_00788","ispE",45,72,86,27,0,44
"NBCAEPAK_00789","znuA_3",31,67,41,3,0,4
"NBCAEPAK_00790","znuC_3",13,9,16,0,0,1
"NBCAEPAK_00791","znuB",30,32,21,3,0,18
"NBCAEPAK_00792","purR_2",77,69,91,11,0,37
"NBCAEPAK_00793","glmU",193,183,240,71,0,159
"NBCAEPAK_00794","prs",265,343,392,82,0,185
"NBCAEPAK_00795","thiT",64,55,66,32,0,45
"NBCAEPAK_00796","",113,128,154,127,0,295
"NBCAEPAK_00797","",42,59,49,40,0,32
"NBCAEPAK_00798","",2,5,5,1,0,0
"NBCAEPAK_00799","",53,79,55,15,0,33
"NBCAEPAK_00800","",16,12,22,10,0,6
"NBCAEPAK_00801","gmk_1",727,966,827,643,0,1090
"NBCAEPAK_00802","rpoZ",33,42,31,52,0,99
"NBCAEPAK_00803","priA",183,182,224,73,0,133
"NBCAEPAK_00804","def_2",65,74,96,21,0,53
"NBCAEPAK_00805","fmt",117,150,126,66,0,109
"NBCAEPAK_00806","rsmB",190,262,221,85,0,112
"NBCAEPAK_00807","stp",103,111,148,47,0,74
"NBCAEPAK_00808","prkC",499,533,682,165,0,366
"NBCAEPAK_00809","rsgA",54,77,82,65,0,116
"NBCAEPAK_00810","rpe_1",26,26,30,25,0,32
"NBCAEPAK_00811","thiN",109,83,126,87,0,104
"NBCAEPAK_00812","mreC",189,209,236,89,0,191
"NBCAEPAK_00813","",22,9,40,4,0,25
"NBCAEPAK_00814","",657,683,986,1162,0,2747
"NBCAEPAK_00815","pepF1_1",504,562,511,320,0,317
"NBCAEPAK_00816","",11,9,3,2,0,2
"NBCAEPAK_00817","",37,20,28,19,0,32
"NBCAEPAK_00818","ldtA",92,241,238,109,0,144
"NBCAEPAK_00819","ldh",538,555,729,86,0,166
"NBCAEPAK_00820","pth",24,11,28,3,0,3
"NBCAEPAK_00821","mfd",195,222,281,64,0,101
"NBCAEPAK_00822","murJ_1",95,85,114,28,0,27
"NBCAEPAK_00823","hslR",29,38,20,3,0,4
"NBCAEPAK_00824","ftsL_1",52,69,70,36,0,59
"NBCAEPAK_00825","yugI_1",116,150,121,60,0,91
"NBCAEPAK_00826","tilS",29,29,32,19,0,29
"NBCAEPAK_00827","hpt",56,100,98,24,0,34
"NBCAEPAK_00828","ftsH",386,324,377,159,0,304
"NBCAEPAK_00829","hslO",61,62,66,8,0,20
"NBCAEPAK_00830","dus_2",38,52,49,17,0,18
"NBCAEPAK_00831","lysS",366,456,532,90,0,191
"NBCAEPAK_00832","",5,7,1,0,0,1
"NBCAEPAK_00862","metK",216,169,199,81,0,112
"NBCAEPAK_00863","",0,0,0,0,0,0
"NBCAEPAK_00864","bmr3",11,3,5,8,0,13
"NBCAEPAK_00865","frmB",9,12,28,4,0,8
"NBCAEPAK_00866","tetR",7,7,12,3,0,2
"NBCAEPAK_00867","",130,145,122,40,0,45
"NBCAEPAK_00868","",132,167,180,26,0,64
"NBCAEPAK_00869","rsmH_1",47,42,57,8,0,20
"NBCAEPAK_00870","",286,374,367,55,0,115
"NBCAEPAK_00871","bcrC",112,155,139,19,0,26
"NBCAEPAK_00872","",252,276,368,587,0,1104
"NBCAEPAK_00873","leuS",480,532,645,88,0,142
"NBCAEPAK_00874","hcf136",659,598,549,181,0,159
"NBCAEPAK_00875","",803,898,881,71,0,60
"NBCAEPAK_00876","",576,717,881,18,0,40
"NBCAEPAK_00877","",53,53,71,26,0,30
"NBCAEPAK_00878","",0,2,0,0,0,0
"NBCAEPAK_00879","",33,22,19,11,0,13
"NBCAEPAK_00880","sdrD",59,69,52,43,0,37
"NBCAEPAK_00881","",42,59,55,36,0,36
"NBCAEPAK_00882","",2,6,7,0,0,0
"NBCAEPAK_00883","celA_1",0,0,5,4,0,35
"NBCAEPAK_00884","licR_1",18,16,20,12,0,22
"NBCAEPAK_00885","licA_1",9,1,4,2,0,0
"NBCAEPAK_00886","",23,23,39,13,0,7
"NBCAEPAK_00887","licC_1",123,143,147,72,0,63
"NBCAEPAK_00888","murE",121,147,177,36,0,120
"NBCAEPAK_00889","",4,12,7,1,0,6
"NBCAEPAK_00890","murJ_2",74,57,76,29,0,41
"NBCAEPAK_00891","rluB_1",61,22,42,7,0,15
"NBCAEPAK_00892","yteP_1",9,13,12,11,0,4
"NBCAEPAK_00893","araQ_2",7,5,2,13,0,2
"NBCAEPAK_00894","",5,4,6,2,0,6
"NBCAEPAK_00895","",27,24,16,4,0,3
"NBCAEPAK_00896","ypdA_1",58,55,30,16,0,15
"NBCAEPAK_00897","",28,33,10,8,0,16
"NBCAEPAK_00898","",160,148,156,65,0,89
"NBCAEPAK_00899","araR_1",39,34,56,20,0,27
"NBCAEPAK_00900","",26,16,11,8,0,11
"NBCAEPAK_00901","mngB",46,29,45,17,0,15
"NBCAEPAK_00902","gmuE_2",16,25,24,0,0,6
"NBCAEPAK_00903","rluD_1",126,151,128,15,0,42
"NBCAEPAK_00904","pbpF",201,181,224,66,0,84
"NBCAEPAK_00905","",60,97,116,14,0,59
"NBCAEPAK_00906","",540,507,520,123,0,96
"NBCAEPAK_00907","nfo_1",536,565,476,187,0,197
"NBCAEPAK_00908","rhgT",216,240,212,65,0,97
"NBCAEPAK_00909","uxaC",113,116,119,30,0,21
"NBCAEPAK_00910","uxaA",114,107,102,34,0,32
"NBCAEPAK_00911","uxaB",9,21,16,6,0,4
"NBCAEPAK_00912","exuR_1",8,14,13,0,0,2
"NBCAEPAK_00913","yesS",7,2,14,5,0,7
"NBCAEPAK_00914","araQ_3",23,22,24,10,0,7
"NBCAEPAK_00915","yteP_2",1,0,2,0,0,3
"NBCAEPAK_00916","",0,1,1,2,0,0
"NBCAEPAK_00917","lipO_1",6,1,11,16,0,11
"NBCAEPAK_00918","yteR",12,24,14,8,0,7
"NBCAEPAK_00919","pgl_1",21,25,19,2,0,20
"NBCAEPAK_00920","",0,1,2,0,0,4
"NBCAEPAK_00921","pemA",2,5,4,1,0,2
"NBCAEPAK_00922","",1,5,3,0,0,0
"NBCAEPAK_00923","xynB",3,3,3,2,0,2
"NBCAEPAK_00924","yjmB",11,6,9,4,0,0
"NBCAEPAK_00925","pehX",13,10,2,5,0,3
"NBCAEPAK_00929","ywpJ_2",5,6,3,4,0,4
"NBCAEPAK_00930","yhaO",19,17,33,21,0,24
"NBCAEPAK_00931","",116,111,162,101,0,172
"NBCAEPAK_00932","yhaM",92,87,108,51,0,104
"NBCAEPAK_00933","prsA_2",151,231,248,197,0,279
"NBCAEPAK_00934","",22,24,21,31,0,60
"NBCAEPAK_00935","",49,32,40,55,0,117
"NBCAEPAK_00936","ecsA_2",2,4,10,7,0,11
"NBCAEPAK_00937","",34,22,44,5,0,22
"NBCAEPAK_00938","",33,52,70,22,0,34
"NBCAEPAK_00939","trmB",39,35,55,10,0,18
"NBCAEPAK_00940","adeC",79,82,83,60,0,123
"NBCAEPAK_00941","comGA",22,4,18,2,0,2
"NBCAEPAK_00942","epsF",4,6,9,0,0,0
"NBCAEPAK_00943","comGC",3,5,0,0,0,5
"NBCAEPAK_00944","",3,0,3,1,0,0
"NBCAEPAK_00945","",1,3,0,0,0,0
"NBCAEPAK_00946","",0,0,4,0,0,0
"NBCAEPAK_00947","",0,0,0,0,0,0
"NBCAEPAK_00948","prmC_1",35,58,101,2,0,9
"NBCAEPAK_00949","ackA",107,73,134,14,0,17
"NBCAEPAK_00950","ybiT_2",36,22,37,2,0,12
"NBCAEPAK_00951","",0,0,2,3,0,2
"NBCAEPAK_00952","",47,59,40,97,0,223
"NBCAEPAK_00953","",11,6,15,3,0,8
"NBCAEPAK_00954","",603,567,516,73,0,93
"NBCAEPAK_00955","",10,34,32,6,0,4
"NBCAEPAK_00956","",2,13,15,4,0,4
"NBCAEPAK_00957","prmA",41,58,36,28,0,38
"NBCAEPAK_00958","rsmE",15,7,18,2,0,5
"NBCAEPAK_00959","relA",450,577,546,473,0,707
"NBCAEPAK_00960","dtd",26,31,25,12,0,34
"NBCAEPAK_00961","cypC",66,94,80,64,0,143
"NBCAEPAK_00962","yhdN",95,94,107,135,0,207
"NBCAEPAK_00963","hisS",70,72,84,8,0,10
"NBCAEPAK_00964","aspS",492,565,563,122,0,214
"NBCAEPAK_00965","",292,366,346,99,0,174
"NBCAEPAK_00966","oatA",290,370,413,177,0,364
"NBCAEPAK_00967","",34,23,27,26,0,17
"NBCAEPAK_00968","yfiC",48,44,34,17,0,40
"NBCAEPAK_00969","plsC",7,14,32,4,0,5
"NBCAEPAK_00970","sbcD",17,18,25,4,0,4
"NBCAEPAK_00971","sbcC",96,123,175,34,0,82
"NBCAEPAK_00972","rapA",287,253,249,103,0,146
"NBCAEPAK_00973","yfnB_2",139,179,144,15,0,30
"NBCAEPAK_00974","spxA_3",76,56,79,148,0,283
"NBCAEPAK_00975","mecA",51,80,105,63,0,173
"NBCAEPAK_00976","coiA",3,7,11,5,0,2
"NBCAEPAK_00977","pepF1_2",139,174,190,133,0,204
"NBCAEPAK_00978","",51,63,56,30,0,44
"NBCAEPAK_00979","",25,38,53,24,0,14
"NBCAEPAK_00980","yjbK",23,25,29,11,0,19
"NBCAEPAK_00981","yjbM",20,25,39,11,0,12
"NBCAEPAK_00982","ppnKA",59,47,59,27,0,29
"NBCAEPAK_00983","rluD_2",187,214,209,34,0,64
"NBCAEPAK_00984","mgtE",199,169,200,45,0,67
"NBCAEPAK_00985","",297,340,302,114,0,138
"NBCAEPAK_00986","rlmA",40,45,47,19,0,20
"NBCAEPAK_00987","trmL",8,10,16,13,0,2
"NBCAEPAK_00988","pspB_2",32,41,61,21,0,14
"NBCAEPAK_00989","recD2",127,116,153,80,0,108
"NBCAEPAK_00990","",7,1,8,3,0,11
"NBCAEPAK_00991","desR",8,5,2,1,0,2
"NBCAEPAK_00992","desK",43,25,10,9,0,12
"NBCAEPAK_00993","ybhF",10,8,6,4,0,5
"NBCAEPAK_00994","",117,131,125,45,0,57
"NBCAEPAK_00995","",207,209,191,31,0,42
"NBCAEPAK_00996","ytlR",41,44,35,9,0,13
"NBCAEPAK_00997","queT_2",251,181,283,99,0,171
"NBCAEPAK_00998","",109,92,156,116,0,223
"NBCAEPAK_00999","rpmG2",15,1,17,5,0,9
"NBCAEPAK_01000","secE",3,0,1,2,0,0
"NBCAEPAK_01001","nusG",57,97,103,13,0,30
"NBCAEPAK_01002","",69,66,70,62,0,78
"NBCAEPAK_01003","",580,576,635,428,0,444
"NBCAEPAK_01004","sdhA",45,73,62,9,0,51
"NBCAEPAK_01005","sdhB",72,66,69,19,0,39
"NBCAEPAK_01006","rplK",445,542,757,40,0,93
"NBCAEPAK_01007","rplA",155,168,213,17,0,39
"NBCAEPAK_01008","rplJ",787,837,1138,58,0,110
"NBCAEPAK_01009","rplL",327,374,586,21,0,35
"NBCAEPAK_01010","",16,10,6,10,0,19
"NBCAEPAK_01011","",32,27,24,10,0,11
"NBCAEPAK_01012","",15,19,17,10,0,7
"NBCAEPAK_01013","ybiT_3",88,94,112,10,0,16
"NBCAEPAK_01014","nagB",12,9,13,5,0,3
"NBCAEPAK_01015","",101,117,132,25,0,40
"NBCAEPAK_01016","tqsA_2",426,516,512,127,0,154
"NBCAEPAK_01017","nrdF",238,195,266,61,0,175
"NBCAEPAK_01018","nrdE1",275,311,385,162,0,258
"NBCAEPAK_01019","nrdH",15,6,4,3,0,18
"NBCAEPAK_01020","",5,6,5,4,0,8
