##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	E745-1.L500_SZAXPI015146-56_2_clean.fq.gz
File type	Conventional base calls
Encoding	Illumina 1.5
1103	26-27	0.5004549451369513
1103	28-29	0.4859310946706401
1103	30-31	0.49162674385451055
1103	32-33	0.5368979440771042
1103	34-35	0.5592277350859334
1103	36-37	0.598882033559903
1103	38-39	0.5842524878620097
1103	40-41	0.34257561887498156
1103	42-43	0.5500150946037081
1103	44-45	0.5323038082970797
1103	46-47	0.5913300426975141
1103	48-49	0.5400903301705355
1103	50-51	0.496888158688094
1103	52-53	0.40750522327455485
1103	54-55	0.4908517998862507
1103	56-57	0.5304021676352946
1103	58-59	0.31336326608428067
1103	60-61	0.5314156474648541
1103	62-63	0.5787214982931204
1103	64-65	0.45436998414502483
1103	66-67	0.5113533033586464
1103	68-69	0.5765519693040204
1103	70-71	0.6530288664213089
1103	72-73	0.5351143495461557
1103	74-75	0.5842577895340462
1103	76-77	0.6120158990171518
1103	78-79	0.7845820458814892
1103	80-81	0.7709847822114639
1103	82-83	0.7372464904062568
1103	84-85	0.7525154415707149
1103	86-87	0.7328771869694819
1103	88-89	0.9225541676955764
1103	90	0.8311991152306248
1104	1	0.22504515186771457
1104	2	0.14353530252931535
1104	3	0.04810444936231306
1104	4	0.16665255192105377
1104	5	0.19659414849532908
1104	6	0.27848065659590304
1104	7	0.23151964820474547
1104	8	0.16443188654801588
1104	9	0.20817904557509337
1104	10-11	0.17983797165388893
1104	12-13	0.2412359736614107
1104	14-15	0.31020088290125614
1104	16-17	0.39543506255683525
1104	18-19	0.4145405269247675
1104	20-21	0.41028239675063105
1104	22-23	0.5041177619385593
1104	24-25	0.3988318536158957
1104	26-27	0.2677363088643574
1104	28-29	0.35688980183846297
1104	30-31	0.3260782205928834
1104	32-33	0.3379971843985885
1104	34-35	0.42469024064629934
1104	36-37	0.4979746855497922
1104	38-39	0.3993729603350431
1104	40-41	0.2516968769532255
1104	42-43	0.34686634381137793
1104	44-45	0.3102511068470122
1104	46-47	0.44211014173927055
1104	48-49	0.5066392427663189
1104	50-51	0.4647299381446004
1104	52-53	0.42185509160330525
1104	54-55	0.5067347256326897
1104	56-57	0.5111942935471703
1104	58-59	0.41845617300567284
1104	60-61	0.40402967511364807
