"","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00094",30,18,33,9,0,18
"NBCAEPAK_00095",6,2,6,1,0,1
"NBCAEPAK_00096",0,0,0,1,0,1
"NBCAEPAK_00097",3,4,0,1,0,5
"NBCAEPAK_00098",1,0,2,0,0,0
"NBCAEPAK_00099",8,17,22,2,0,15
"NBCAEPAK_00100",82,98,99,84,0,108
"NBCAEPAK_00101",3,6,0,2,0,2
"NBCAEPAK_00102",19,20,20,4,0,15
"NBCAEPAK_00103",97,104,112,46,0,43
"NBCAEPAK_00104",338,321,294,525,0,556
"NBCAEPAK_00105",67,91,91,77,0,117
"NBCAEPAK_00106",122,142,106,115,0,152
"NBCAEPAK_00107",173,227,242,133,0,197
"NBCAEPAK_00108",49,52,64,14,0,61
"NBCAEPAK_00109",66,59,75,36,0,39
"NBCAEPAK_00110",80,72,78,10,0,16
"NBCAEPAK_00111",49,54,52,10,0,7
"NBCAEPAK_00112",51,80,50,7,0,28
"NBCAEPAK_00113",44,28,36,15,0,17
"NBCAEPAK_00114",136,148,208,38,0,88
"NBCAEPAK_00115",33,27,41,14,0,18
"NBCAEPAK_00116",236,299,249,75,0,54
"NBCAEPAK_00117",138,160,151,57,0,55
"NBCAEPAK_00118",35,36,77,8,0,11
"NBCAEPAK_00119",213,299,218,84,0,118
"NBCAEPAK_00120",389,397,469,116,0,183
"NBCAEPAK_00121",14,21,14,7,0,7
"NBCAEPAK_00122",24,17,20,6,0,21
"NBCAEPAK_00123",33,10,14,132,0,143
"NBCAEPAK_00124",5,10,6,27,0,56
"NBCAEPAK_00125",1,7,10,88,0,141
"NBCAEPAK_00126",110,168,187,54,0,194
"NBCAEPAK_00127",80,69,70,76,0,64
"NBCAEPAK_00128",198,193,169,513,0,470
"NBCAEPAK_00129",40,48,58,17,0,18
"NBCAEPAK_00130",80,86,125,8,0,42
"NBCAEPAK_00131",88,137,141,66,0,136
"NBCAEPAK_00132",28,39,24,21,0,44
"NBCAEPAK_00133",358,444,436,43,0,125
"NBCAEPAK_00134",40,45,46,16,0,23
"NBCAEPAK_00135",55,55,54,16,0,41
"NBCAEPAK_00136",49,39,41,14,0,10
"NBCAEPAK_00137",7,4,2,1,0,2
"NBCAEPAK_00138",8,23,14,3,0,1
"NBCAEPAK_00139",163,254,234,133,0,237
"NBCAEPAK_00140",189,187,197,80,0,149
"NBCAEPAK_00141",231,187,211,219,0,232
"NBCAEPAK_00142",134,114,137,22,0,25
"NBCAEPAK_00143",63,69,74,40,0,53
"NBCAEPAK_00144",38,68,49,11,0,30
"NBCAEPAK_00145",12,16,7,0,0,4
"NBCAEPAK_00146",1,3,2,0,0,2
"NBCAEPAK_00147",0,2,0,0,0,0
"NBCAEPAK_00148",28,17,34,6,0,18
"NBCAEPAK_00149",0,0,1,1,0,4
"NBCAEPAK_00150",25,20,17,13,0,5
"NBCAEPAK_00151",29,37,30,30,0,22
"NBCAEPAK_00152",13,7,13,11,0,11
"NBCAEPAK_00153",16,17,21,10,0,11
"NBCAEPAK_00154",10,19,11,8,0,25
"NBCAEPAK_00155",9,11,12,12,0,24
"NBCAEPAK_00156",2,6,3,5,0,8
"NBCAEPAK_00157",10,9,7,10,0,20
"NBCAEPAK_00158",146,123,119,58,0,91
"NBCAEPAK_00159",2,4,2,3,0,0
"NBCAEPAK_00160",19,10,12,28,0,11
"NBCAEPAK_00161",0,2,0,1,0,2
"NBCAEPAK_00162",4,2,4,0,0,7
"NBCAEPAK_00163",28,21,27,5,0,19
"NBCAEPAK_00164",1,8,3,41,0,28
"NBCAEPAK_00165",10,8,9,46,0,84
"NBCAEPAK_00166",42,36,48,138,0,186
"NBCAEPAK_00167",0,0,0,0,0,1
"NBCAEPAK_00168",46,55,69,38,0,86
"NBCAEPAK_00169",25,37,42,47,0,36
"NBCAEPAK_00170",9,14,21,7,0,12
"NBCAEPAK_00171",67,63,68,9,0,31
"NBCAEPAK_00172",56,39,66,8,0,21
"NBCAEPAK_00173",83,79,67,35,0,33
"NBCAEPAK_00174",64,69,116,15,0,46
"NBCAEPAK_00175",91,106,94,61,0,87
"NBCAEPAK_00176",40,32,48,35,0,53
"NBCAEPAK_00177",88,98,99,55,0,63
"NBCAEPAK_00178",16,16,12,1,0,8
"NBCAEPAK_00179",16,14,32,3,0,9
"NBCAEPAK_00180",37,36,60,25,0,66
"NBCAEPAK_00181",47,44,74,61,0,66
"NBCAEPAK_00182",8,6,20,14,0,10
"NBCAEPAK_00183",24,26,36,13,0,21
"NBCAEPAK_00184",9,4,5,6,0,17
"NBCAEPAK_00185",46,33,31,16,0,9
"NBCAEPAK_00186",18,12,19,14,0,11
"NBCAEPAK_00187",29,33,24,26,0,44
"NBCAEPAK_00188",219,202,177,196,0,265
"NBCAEPAK_00189",42,35,69,97,0,81
"NBCAEPAK_00190",603,676,603,205,0,235
"NBCAEPAK_00191",0,2,0,0,0,0
"NBCAEPAK_00192",0,0,0,0,0,0
"NBCAEPAK_00193",101,97,107,72,0,119
"NBCAEPAK_00194",22,10,31,37,0,52
"NBCAEPAK_00195",25,8,19,30,0,86
"NBCAEPAK_00196",21,13,24,57,0,114
"NBCAEPAK_00197",7,14,22,39,0,64
"NBCAEPAK_00198",26,11,12,31,0,67
"NBCAEPAK_00199",10,18,25,24,0,34
"NBCAEPAK_00200",70,80,67,80,0,143
"NBCAEPAK_00201",12,12,11,49,0,52
"NBCAEPAK_00202",20,44,21,179,0,204
"NBCAEPAK_00203",114,137,153,39,0,83
"NBCAEPAK_00204",205,272,250,46,0,65
"NBCAEPAK_00205",315,474,515,73,0,122
"NBCAEPAK_00206",31,39,53,17,0,43
"NBCAEPAK_00207",11,18,8,20,0,49
"NBCAEPAK_00211",2,6,7,24,0,62
"NBCAEPAK_00212",29,18,5,36,0,59
"NBCAEPAK_00213",110,116,118,45,0,89
"NBCAEPAK_00214",61,65,48,35,0,47
"NBCAEPAK_00215",97,139,107,5,0,23
"NBCAEPAK_00216",5,3,10,2,0,0
"NBCAEPAK_00217",183,155,171,94,0,120
"NBCAEPAK_00218",33,46,35,16,0,30
"NBCAEPAK_00219",107,125,100,20,0,28
"NBCAEPAK_00220",49,63,80,5,0,12
"NBCAEPAK_00221",10,19,14,1,0,8
"NBCAEPAK_00222",23,15,24,6,0,25
"NBCAEPAK_00223",143,114,157,14,0,16
"NBCAEPAK_00224",39,66,75,12,0,20
"NBCAEPAK_00225",5,0,7,7,0,8
"NBCAEPAK_00226",11,11,17,0,0,0
"NBCAEPAK_00227",42,57,37,12,0,18
"NBCAEPAK_00228",32,46,27,28,0,54
"NBCAEPAK_00229",4,0,3,5,0,5
"NBCAEPAK_00230",10,0,4,2,0,10
"NBCAEPAK_00231",222,221,269,177,0,452
"NBCAEPAK_00232",49,57,39,12,0,14
"NBCAEPAK_00233",133,101,121,11,0,39
"NBCAEPAK_00234",58,36,56,5,0,7
"NBCAEPAK_00235",58,83,77,0,0,8
"NBCAEPAK_00236",3,10,15,12,0,5
"NBCAEPAK_00237",15,16,23,2,0,5
"NBCAEPAK_00238",42,39,54,16,0,24
"NBCAEPAK_00239",17,23,21,4,0,8
"NBCAEPAK_00240",0,2,10,3,0,7
"NBCAEPAK_00241",54,42,35,5,0,6
"NBCAEPAK_00242",8,14,8,0,0,1
"NBCAEPAK_00243",49,48,60,27,0,37
"NBCAEPAK_00244",8,14,12,6,0,13
"NBCAEPAK_00245",82,136,132,46,0,60
"NBCAEPAK_00246",23,35,27,32,0,29
"NBCAEPAK_00247",338,384,352,250,0,238
"NBCAEPAK_00248",262,280,265,220,0,192
"NBCAEPAK_00249",123,141,120,48,0,74
"NBCAEPAK_00250",6,3,6,0,0,2
"NBCAEPAK_00251",22,43,53,0,0,4
"NBCAEPAK_00252",42,69,79,14,0,17
"NBCAEPAK_00253",30,21,37,8,0,10
"NBCAEPAK_00254",18,20,36,12,0,20
"NBCAEPAK_00255",4,10,6,2,0,0
"NBCAEPAK_00256",0,2,6,2,0,0
"NBCAEPAK_00257",6,17,10,4,0,6
"NBCAEPAK_00258",37,26,19,88,0,94
"NBCAEPAK_00259",55,55,72,45,0,67
"NBCAEPAK_00260",45,33,30,19,0,24
"NBCAEPAK_00261",29,32,33,20,0,26
"NBCAEPAK_00262",257,249,240,186,0,217
"NBCAEPAK_00263",92,111,73,52,0,47
"NBCAEPAK_00264",331,389,303,292,0,282
"NBCAEPAK_00265",136,179,187,100,0,124
"NBCAEPAK_00266",17,19,20,2,0,4
"NBCAEPAK_00267",28,40,33,9,0,13
"NBCAEPAK_00268",67,67,96,7,0,13
"NBCAEPAK_00269",93,80,84,2,0,4
"NBCAEPAK_00270",128,171,164,28,0,63
"NBCAEPAK_00271",71,71,68,8,0,25
"NBCAEPAK_00272",10,10,5,5,0,2
"NBCAEPAK_00273",3,7,10,5,0,16
"NBCAEPAK_00274",14,14,14,10,0,8
"NBCAEPAK_00275",63,55,42,28,0,35
"NBCAEPAK_00276",684,753,625,1248,0,1242
"NBCAEPAK_00277",7,3,4,5,0,10
"NBCAEPAK_00278",12,9,8,0,0,1
"NBCAEPAK_00279",2,6,1,9,0,14
"NBCAEPAK_00280",20,15,23,24,0,44
"NBCAEPAK_00281",11,7,4,4,0,4
"NBCAEPAK_00282",35,61,44,34,0,46
"NBCAEPAK_00283",46,69,58,52,0,110
"NBCAEPAK_00284",36,22,29,31,0,57
"NBCAEPAK_00285",0,0,2,0,0,10
"NBCAEPAK_00286",3,2,5,1,0,4
"NBCAEPAK_00287",16,41,59,21,0,23
"NBCAEPAK_00288",25,24,16,5,0,11
"NBCAEPAK_00289",3,2,4,2,0,3
"NBCAEPAK_00290",10,11,9,2,0,4
"NBCAEPAK_00291",7,11,16,10,0,8
"NBCAEPAK_00292",153,185,173,261,0,285
"NBCAEPAK_00293",31,58,43,29,0,36
"NBCAEPAK_00294",1,4,6,4,0,4
"NBCAEPAK_00295",0,4,2,1,0,2
"NBCAEPAK_00296",6,10,5,10,0,4
"NBCAEPAK_00297",10,20,20,12,0,18
"NBCAEPAK_00298",15,14,12,18,0,30
"NBCAEPAK_00299",9,8,14,13,0,27
"NBCAEPAK_00300",5,8,4,11,0,21
"NBCAEPAK_00301",3,4,12,0,0,1
"NBCAEPAK_00302",6,5,9,2,0,7
"NBCAEPAK_00303",75,55,117,9,0,23
