"","count_BHI_1","count_BHI_2","count_BHI_3","count_ser_1","count_ser_2","count_ser_3"
"NBCAEPAK_00552",250,229,328,34,0,55
"NBCAEPAK_00553",669,888,1030,49,0,103
"NBCAEPAK_00554",61,52,62,13,0,30
"NBCAEPAK_00555",101,100,140,35,0,42
"NBCAEPAK_00556",1093,958,1312,214,0,498
"NBCAEPAK_00557",287,288,325,120,0,219
"NBCAEPAK_00558",128,190,215,84,0,138
"NBCAEPAK_00559",319,385,379,115,0,222
"NBCAEPAK_00560",180,130,224,79,0,108
"NBCAEPAK_00561",320,319,353,126,0,284
"NBCAEPAK_00562",269,248,306,160,0,218
"NBCAEPAK_00563",864,1022,1140,834,0,1277
"NBCAEPAK_00564",92,83,83,23,0,42
"NBCAEPAK_00565",197,178,232,67,0,118
"NBCAEPAK_00566",98,87,119,8,0,40
"NBCAEPAK_00567",34,32,37,11,0,21
"NBCAEPAK_00568",112,195,125,31,0,44
"NBCAEPAK_00569",49,70,77,34,0,32
"NBCAEPAK_00570",833,842,1002,200,0,373
"NBCAEPAK_00571",137,135,169,73,0,97
"NBCAEPAK_00572",14,8,11,14,0,26
"NBCAEPAK_00573",2,2,4,0,0,0
"NBCAEPAK_00574",4,8,4,6,0,4
"NBCAEPAK_00575",74,132,97,25,0,43
"NBCAEPAK_00576",49,54,52,22,0,8
"NBCAEPAK_00577",40,40,46,14,0,23
"NBCAEPAK_00578",0,2,2,1,0,2
"NBCAEPAK_00579",2,7,4,4,0,5
"NBCAEPAK_00580",21,13,20,4,0,6
"NBCAEPAK_00581",374,441,398,73,0,48
"NBCAEPAK_00582",142,179,138,127,0,147
"NBCAEPAK_00583",10,10,14,0,0,2
"NBCAEPAK_00584",0,3,0,0,0,0
"NBCAEPAK_00585",14,19,8,4,0,5
"NBCAEPAK_00586",98,68,80,16,0,25
"NBCAEPAK_00587",77,111,88,87,0,115
"NBCAEPAK_00588",69,83,94,46,0,77
"NBCAEPAK_00589",91,63,104,64,0,108
"NBCAEPAK_00590",179,215,208,51,0,76
"NBCAEPAK_00591",142,157,155,37,0,45
"NBCAEPAK_00592",123,154,186,168,0,301
"NBCAEPAK_00593",101,86,79,22,0,33
"NBCAEPAK_00594",30,34,35,35,0,58
"NBCAEPAK_00595",110,124,137,62,0,96
"NBCAEPAK_00596",66,64,75,13,0,38
"NBCAEPAK_00597",505,476,652,145,0,220
"NBCAEPAK_00598",248,150,250,42,0,95
"NBCAEPAK_00599",525,560,613,175,0,313
"NBCAEPAK_00600",349,356,438,75,0,147
"NBCAEPAK_00601",210,223,324,74,0,116
"NBCAEPAK_00602",6,14,15,5,0,3
"NBCAEPAK_00603",88,96,128,38,0,61
"NBCAEPAK_00604",91,92,112,22,0,71
"NBCAEPAK_00605",9,14,10,0,0,1
"NBCAEPAK_00606",35,20,20,3,0,1
"NBCAEPAK_00607",132,150,202,25,0,29
"NBCAEPAK_00608",100,152,141,48,0,65
"NBCAEPAK_00609",108,130,81,10,0,7
"NBCAEPAK_00610",96,136,138,10,0,15
"NBCAEPAK_00611",103,125,166,42,0,43
"NBCAEPAK_00612",77,113,120,21,0,28
"NBCAEPAK_00613",92,117,99,19,0,34
"NBCAEPAK_00614",141,143,181,49,0,80
"NBCAEPAK_00615",26,43,41,6,0,9
"NBCAEPAK_00616",231,305,304,77,0,115
"NBCAEPAK_00617",34,47,66,15,0,22
"NBCAEPAK_00618",409,418,472,426,0,704
"NBCAEPAK_00619",123,101,112,50,0,68
"NBCAEPAK_00620",93,130,145,71,0,117
"NBCAEPAK_00621",34,41,54,22,0,21
"NBCAEPAK_00634",8,4,6,0,0,9
"NBCAEPAK_00635",217,228,241,206,0,360
"NBCAEPAK_00636",41,74,76,4,0,14
"NBCAEPAK_00637",99,114,102,16,0,37
"NBCAEPAK_00638",171,135,190,62,0,135
"NBCAEPAK_00639",12,23,9,0,0,0
"NBCAEPAK_00640",35,44,32,7,0,15
"NBCAEPAK_00641",114,129,106,45,0,86
"NBCAEPAK_00642",173,176,218,44,0,113
"NBCAEPAK_00643",79,69,81,8,0,17
"NBCAEPAK_00644",164,186,144,15,0,24
"NBCAEPAK_00645",144,244,182,16,0,15
"NBCAEPAK_00646",304,411,370,55,0,58
"NBCAEPAK_00647",84,68,93,35,0,70
"NBCAEPAK_00648",83,92,84,44,0,62
"NBCAEPAK_00649",16,25,20,2,0,8
"NBCAEPAK_00650",94,147,89,31,0,46
"NBCAEPAK_00651",37,42,45,6,0,9
"NBCAEPAK_00652",1174,1371,1578,274,0,539
"NBCAEPAK_00653",2007,1738,2147,437,0,856
"NBCAEPAK_00654",69,50,62,21,0,35
"NBCAEPAK_00655",7,16,9,0,0,1
"NBCAEPAK_00656",1,4,4,1,0,0
"NBCAEPAK_00657",41,51,60,21,0,16
"NBCAEPAK_00658",22,33,20,11,0,6
"NBCAEPAK_00659",3,0,0,0,0,0
"NBCAEPAK_00660",0,0,0,0,0,0
"NBCAEPAK_00661",8,2,8,0,0,3
"NBCAEPAK_00662",24,36,25,3,0,8
"NBCAEPAK_00663",41,37,41,10,0,13
"NBCAEPAK_00664",26,59,38,22,0,18
"NBCAEPAK_00665",35,31,43,22,0,57
"NBCAEPAK_00666",239,207,285,110,0,154
"NBCAEPAK_00667",108,143,115,85,0,93
"NBCAEPAK_00668",388,496,630,205,0,372
"NBCAEPAK_00669",485,509,768,82,0,92
"NBCAEPAK_00670",87,112,155,48,0,50
"NBCAEPAK_00671",99,93,75,29,0,25
"NBCAEPAK_00672",21,16,13,5,0,11
"NBCAEPAK_00673",3,9,2,12,0,7
"NBCAEPAK_00674",29,43,43,55,0,74
"NBCAEPAK_00675",15,18,17,9,0,11
"NBCAEPAK_00676",2,2,0,0,0,0
"NBCAEPAK_00677",4,9,5,7,0,8
"NBCAEPAK_00678",6,5,5,1,0,0
"NBCAEPAK_00679",41,58,36,19,0,14
"NBCAEPAK_00680",9,19,20,9,0,30
"NBCAEPAK_00681",14,7,7,5,0,9
"NBCAEPAK_00682",11,11,20,13,0,19
"NBCAEPAK_00683",30,38,37,26,0,29
"NBCAEPAK_00684",1,0,6,1,0,3
"NBCAEPAK_00685",0,0,0,0,0,0
"NBCAEPAK_00686",6,10,5,7,0,2
"NBCAEPAK_00687",2,2,1,0,0,1
"NBCAEPAK_00688",9,7,8,14,0,16
"NBCAEPAK_00689",0,4,0,1,0,1
"NBCAEPAK_00690",25,14,26,4,0,13
"NBCAEPAK_00691",2,2,2,0,0,1
"NBCAEPAK_00692",46,57,46,14,0,26
"NBCAEPAK_00693",24,30,23,13,0,9
"NBCAEPAK_00694",179,214,152,22,0,21
"NBCAEPAK_00695",46,81,106,1,0,4
"NBCAEPAK_00696",209,200,206,38,0,62
"NBCAEPAK_00697",3,3,4,1,0,0
"NBCAEPAK_00698",11,18,10,2,0,2
"NBCAEPAK_00699",5,12,2,4,0,9
"NBCAEPAK_00700",0,0,2,0,0,2
"NBCAEPAK_00701",40,55,58,0,0,13
"NBCAEPAK_00702",57,39,69,13,0,22
"NBCAEPAK_00703",14,9,23,0,0,5
"NBCAEPAK_00704",6,9,11,10,0,25
"NBCAEPAK_00705",25,38,37,16,0,18
"NBCAEPAK_00706",21,16,22,4,0,7
"NBCAEPAK_00707",218,218,238,58,0,81
"NBCAEPAK_00708",54,37,71,8,0,9
"NBCAEPAK_00709",12,7,10,5,0,5
"NBCAEPAK_00710",8,5,12,0,0,1
"NBCAEPAK_00711",1,2,0,1,0,0
"NBCAEPAK_00712",4,1,3,0,0,0
"NBCAEPAK_00713",0,0,0,0,0,0
"NBCAEPAK_00714",0,0,0,0,0,0
"NBCAEPAK_00715",1,5,0,0,0,2
"NBCAEPAK_00716",1,0,1,0,0,0
"NBCAEPAK_00717",0,0,1,0,0,0
"NBCAEPAK_00718",3,0,3,2,0,0
"NBCAEPAK_00719",8,4,2,4,0,11
"NBCAEPAK_00720",15,28,23,16,0,41
"NBCAEPAK_00721",3,0,0,3,0,2
"NBCAEPAK_00722",0,0,0,0,0,0
"NBCAEPAK_00723",21,9,21,4,0,7
"NBCAEPAK_00724",7,2,2,0,0,0
"NBCAEPAK_00725",1,0,0,1,0,0
"NBCAEPAK_00726",2,1,0,0,0,0
"NBCAEPAK_00727",118,120,124,10,0,32
"NBCAEPAK_00728",5,9,2,0,0,1
"NBCAEPAK_00729",14,8,14,21,0,22
"NBCAEPAK_00730",4,9,11,2,0,4
"NBCAEPAK_00731",14,37,53,6,0,22
"NBCAEPAK_00732",32,13,39,10,0,20
"NBCAEPAK_00733",79,66,85,37,0,68
"NBCAEPAK_00734",6,5,12,2,0,0
"NBCAEPAK_00735",114,154,149,24,0,52
"NBCAEPAK_00736",52,38,47,8,0,17
"NBCAEPAK_00737",86,89,93,20,0,29
"NBCAEPAK_00738",482,466,470,54,0,75
"NBCAEPAK_00739",24,17,19,8,0,25
"NBCAEPAK_00740",19,18,25,17,0,9
"NBCAEPAK_00741",0,0,0,0,0,0
"NBCAEPAK_00742",11,9,8,6,0,12
"NBCAEPAK_00743",11,14,13,4,0,11
"NBCAEPAK_00744",8,10,5,9,0,13
"NBCAEPAK_00745",12,15,4,9,0,8
"NBCAEPAK_00746",6,13,5,11,0,10
"NBCAEPAK_00747",3,4,8,0,0,2
"NBCAEPAK_00748",46,49,62,11,0,6
"NBCAEPAK_00749",7,7,8,0,0,0
"NBCAEPAK_00750",28,33,43,25,0,32
"NBCAEPAK_00751",18,26,22,12,0,14
"NBCAEPAK_00752",14,22,18,17,0,36
"NBCAEPAK_00753",186,214,234,20,0,41
"NBCAEPAK_00754",18,20,21,0,0,5
"NBCAEPAK_00755",12,20,14,3,0,7
"NBCAEPAK_00756",11,5,9,2,0,3
"NBCAEPAK_00757",63,73,73,66,0,48
"NBCAEPAK_00758",49,49,50,54,0,39
"NBCAEPAK_00759",22,32,36,12,0,25
"NBCAEPAK_00760",0,0,0,0,0,0
"NBCAEPAK_00761",13,16,18,5,0,6
"NBCAEPAK_00762",9,6,11,7,0,12
"NBCAEPAK_00763",185,233,189,160,0,204
"NBCAEPAK_00764",390,389,402,275,0,387
"NBCAEPAK_00765",123,139,125,72,0,105
"NBCAEPAK_00766",35,22,16,3,0,11
"NBCAEPAK_00767",141,180,171,75,0,116
"NBCAEPAK_00768",70,101,86,42,0,78
"NBCAEPAK_00769",273,408,347,116,0,176
"NBCAEPAK_00770",60,52,70,4,0,11
"NBCAEPAK_00771",108,152,156,19,0,31
"NBCAEPAK_00772",20,18,17,4,0,11
"NBCAEPAK_00773",52,70,57,7,0,22
"NBCAEPAK_00774",38,25,46,1,0,18
"NBCAEPAK_00775",0,12,5,0,0,0
"NBCAEPAK_00776",24,28,20,16,0,46
"NBCAEPAK_00777",35,35,29,31,0,30
"NBCAEPAK_00778",182,141,156,99,0,146
"NBCAEPAK_00779",47,43,52,10,0,20
"NBCAEPAK_00780",48,24,37,14,0,37
"NBCAEPAK_00781",59,53,87,23,0,37
"NBCAEPAK_00782",52,47,75,19,0,28
"NBCAEPAK_00783",115,82,127,11,0,34
"NBCAEPAK_00784",135,181,163,66,0,149
"NBCAEPAK_00785",299,285,337,236,0,448
"NBCAEPAK_00786",64,75,69,36,0,32
"NBCAEPAK_00787",146,150,191,75,0,151
"NBCAEPAK_00788",45,72,86,27,0,44
"NBCAEPAK_00789",31,67,41,3,0,4
"NBCAEPAK_00790",13,9,16,0,0,1
"NBCAEPAK_00791",30,32,21,3,0,18
"NBCAEPAK_00792",77,69,91,11,0,37
"NBCAEPAK_00793",193,183,240,71,0,159
"NBCAEPAK_00794",265,343,392,82,0,185
"NBCAEPAK_00795",64,55,66,32,0,45
"NBCAEPAK_00796",113,128,154,127,0,295
"NBCAEPAK_00797",42,59,49,40,0,32
"NBCAEPAK_00798",2,5,5,1,0,0
"NBCAEPAK_00799",53,79,55,15,0,33
"NBCAEPAK_00800",16,12,22,10,0,6
"NBCAEPAK_00801",727,966,827,643,0,1090
"NBCAEPAK_00802",33,42,31,52,0,99
"NBCAEPAK_00803",183,182,224,73,0,133
"NBCAEPAK_00804",65,74,96,21,0,53
"NBCAEPAK_00805",117,150,126,66,0,109
"NBCAEPAK_00806",190,262,221,85,0,112
"NBCAEPAK_00807",103,111,148,47,0,74
"NBCAEPAK_00808",499,533,682,165,0,366
"NBCAEPAK_00809",54,77,82,65,0,116
"NBCAEPAK_00810",26,26,30,25,0,32
"NBCAEPAK_00811",109,83,126,87,0,104
"NBCAEPAK_00812",189,209,236,89,0,191
"NBCAEPAK_00813",22,9,40,4,0,25
"NBCAEPAK_00814",657,683,986,1162,0,2747
"NBCAEPAK_00815",504,562,511,320,0,317
"NBCAEPAK_00816",11,9,3,2,0,2
"NBCAEPAK_00817",37,20,28,19,0,32
"NBCAEPAK_00818",92,241,238,109,0,144
"NBCAEPAK_00819",538,555,729,86,0,166
"NBCAEPAK_00820",24,11,28,3,0,3
"NBCAEPAK_00821",195,222,281,64,0,101
"NBCAEPAK_00822",95,85,114,28,0,27
"NBCAEPAK_00823",29,38,20,3,0,4
"NBCAEPAK_00824",52,69,70,36,0,59
"NBCAEPAK_00825",116,150,121,60,0,91
"NBCAEPAK_00826",29,29,32,19,0,29
"NBCAEPAK_00827",56,100,98,24,0,34
"NBCAEPAK_00828",386,324,377,159,0,304
"NBCAEPAK_00829",61,62,66,8,0,20
"NBCAEPAK_00830",38,52,49,17,0,18
"NBCAEPAK_00831",366,456,532,90,0,191
"NBCAEPAK_00832",5,7,1,0,0,1
"NBCAEPAK_00862",216,169,199,81,0,112
"NBCAEPAK_00863",0,0,0,0,0,0
"NBCAEPAK_00864",11,3,5,8,0,13
"NBCAEPAK_00865",9,12,28,4,0,8
"NBCAEPAK_00866",7,7,12,3,0,2
"NBCAEPAK_00867",130,145,122,40,0,45
"NBCAEPAK_00868",132,167,180,26,0,64
"NBCAEPAK_00869",47,42,57,8,0,20
"NBCAEPAK_00870",286,374,367,55,0,115
"NBCAEPAK_00871",112,155,139,19,0,26
"NBCAEPAK_00872",252,276,368,587,0,1104
"NBCAEPAK_00873",480,532,645,88,0,142
"NBCAEPAK_00874",659,598,549,181,0,159
"NBCAEPAK_00875",803,898,881,71,0,60
"NBCAEPAK_00876",576,717,881,18,0,40
"NBCAEPAK_00877",53,53,71,26,0,30
"NBCAEPAK_00878",0,2,0,0,0,0
"NBCAEPAK_00879",33,22,19,11,0,13
"NBCAEPAK_00880",59,69,52,43,0,37
"NBCAEPAK_00881",42,59,55,36,0,36
"NBCAEPAK_00882",2,6,7,0,0,0
"NBCAEPAK_00883",0,0,5,4,0,35
"NBCAEPAK_00884",18,16,20,12,0,22
"NBCAEPAK_00885",9,1,4,2,0,0
"NBCAEPAK_00886",23,23,39,13,0,7
"NBCAEPAK_00887",123,143,147,72,0,63
"NBCAEPAK_00888",121,147,177,36,0,120
"NBCAEPAK_00889",4,12,7,1,0,6
"NBCAEPAK_00890",74,57,76,29,0,41
"NBCAEPAK_00891",61,22,42,7,0,15
"NBCAEPAK_00892",9,13,12,11,0,4
"NBCAEPAK_00893",7,5,2,13,0,2
"NBCAEPAK_00894",5,4,6,2,0,6
"NBCAEPAK_00895",27,24,16,4,0,3
"NBCAEPAK_00896",58,55,30,16,0,15
"NBCAEPAK_00897",28,33,10,8,0,16
"NBCAEPAK_00898",160,148,156,65,0,89
"NBCAEPAK_00899",39,34,56,20,0,27
"NBCAEPAK_00900",26,16,11,8,0,11
"NBCAEPAK_00901",46,29,45,17,0,15
"NBCAEPAK_00902",16,25,24,0,0,6
"NBCAEPAK_00903",126,151,128,15,0,42
"NBCAEPAK_00904",201,181,224,66,0,84
"NBCAEPAK_00905",60,97,116,14,0,59
"NBCAEPAK_00906",540,507,520,123,0,96
"NBCAEPAK_00907",536,565,476,187,0,197
"NBCAEPAK_00908",216,240,212,65,0,97
"NBCAEPAK_00909",113,116,119,30,0,21
"NBCAEPAK_00910",114,107,102,34,0,32
"NBCAEPAK_00911",9,21,16,6,0,4
"NBCAEPAK_00912",8,14,13,0,0,2
"NBCAEPAK_00913",7,2,14,5,0,7
"NBCAEPAK_00914",23,22,24,10,0,7
"NBCAEPAK_00915",1,0,2,0,0,3
"NBCAEPAK_00916",0,1,1,2,0,0
"NBCAEPAK_00917",6,1,11,16,0,11
"NBCAEPAK_00918",12,24,14,8,0,7
"NBCAEPAK_00919",21,25,19,2,0,20
"NBCAEPAK_00920",0,1,2,0,0,4
"NBCAEPAK_00921",2,5,4,1,0,2
"NBCAEPAK_00922",1,5,3,0,0,0
"NBCAEPAK_00923",3,3,3,2,0,2
"NBCAEPAK_00924",11,6,9,4,0,0
"NBCAEPAK_00925",13,10,2,5,0,3
"NBCAEPAK_00929",5,6,3,4,0,4
"NBCAEPAK_00930",19,17,33,21,0,24
"NBCAEPAK_00931",116,111,162,101,0,172
"NBCAEPAK_00932",92,87,108,51,0,104
"NBCAEPAK_00933",151,231,248,197,0,279
"NBCAEPAK_00934",22,24,21,31,0,60
"NBCAEPAK_00935",49,32,40,55,0,117
"NBCAEPAK_00936",2,4,10,7,0,11
"NBCAEPAK_00937",34,22,44,5,0,22
"NBCAEPAK_00938",33,52,70,22,0,34
"NBCAEPAK_00939",39,35,55,10,0,18
"NBCAEPAK_00940",79,82,83,60,0,123
"NBCAEPAK_00941",22,4,18,2,0,2
"NBCAEPAK_00942",4,6,9,0,0,0
"NBCAEPAK_00943",3,5,0,0,0,5
"NBCAEPAK_00944",3,0,3,1,0,0
"NBCAEPAK_00945",1,3,0,0,0,0
"NBCAEPAK_00946",0,0,4,0,0,0
"NBCAEPAK_00947",0,0,0,0,0,0
"NBCAEPAK_00948",35,58,101,2,0,9
"NBCAEPAK_00949",107,73,134,14,0,17
"NBCAEPAK_00950",36,22,37,2,0,12
"NBCAEPAK_00951",0,0,2,3,0,2
"NBCAEPAK_00952",47,59,40,97,0,223
"NBCAEPAK_00953",11,6,15,3,0,8
"NBCAEPAK_00954",603,567,516,73,0,93
"NBCAEPAK_00955",10,34,32,6,0,4
"NBCAEPAK_00956",2,13,15,4,0,4
"NBCAEPAK_00957",41,58,36,28,0,38
"NBCAEPAK_00958",15,7,18,2,0,5
"NBCAEPAK_00959",450,577,546,473,0,707
"NBCAEPAK_00960",26,31,25,12,0,34
"NBCAEPAK_00961",66,94,80,64,0,143
"NBCAEPAK_00962",95,94,107,135,0,207
"NBCAEPAK_00963",70,72,84,8,0,10
"NBCAEPAK_00964",492,565,563,122,0,214
"NBCAEPAK_00965",292,366,346,99,0,174
"NBCAEPAK_00966",290,370,413,177,0,364
"NBCAEPAK_00967",34,23,27,26,0,17
"NBCAEPAK_00968",48,44,34,17,0,40
"NBCAEPAK_00969",7,14,32,4,0,5
"NBCAEPAK_00970",17,18,25,4,0,4
"NBCAEPAK_00971",96,123,175,34,0,82
"NBCAEPAK_00972",287,253,249,103,0,146
"NBCAEPAK_00973",139,179,144,15,0,30
"NBCAEPAK_00974",76,56,79,148,0,283
"NBCAEPAK_00975",51,80,105,63,0,173
"NBCAEPAK_00976",3,7,11,5,0,2
"NBCAEPAK_00977",139,174,190,133,0,204
"NBCAEPAK_00978",51,63,56,30,0,44
"NBCAEPAK_00979",25,38,53,24,0,14
"NBCAEPAK_00980",23,25,29,11,0,19
"NBCAEPAK_00981",20,25,39,11,0,12
"NBCAEPAK_00982",59,47,59,27,0,29
"NBCAEPAK_00983",187,214,209,34,0,64
"NBCAEPAK_00984",199,169,200,45,0,67
"NBCAEPAK_00985",297,340,302,114,0,138
"NBCAEPAK_00986",40,45,47,19,0,20
"NBCAEPAK_00987",8,10,16,13,0,2
"NBCAEPAK_00988",32,41,61,21,0,14
"NBCAEPAK_00989",127,116,153,80,0,108
"NBCAEPAK_00990",7,1,8,3,0,11
"NBCAEPAK_00991",8,5,2,1,0,2
"NBCAEPAK_00992",43,25,10,9,0,12
"NBCAEPAK_00993",10,8,6,4,0,5
"NBCAEPAK_00994",117,131,125,45,0,57
"NBCAEPAK_00995",207,209,191,31,0,42
"NBCAEPAK_00996",41,44,35,9,0,13
"NBCAEPAK_00997",251,181,283,99,0,171
"NBCAEPAK_00998",109,92,156,116,0,223
"NBCAEPAK_00999",15,1,17,5,0,9
"NBCAEPAK_01000",3,0,1,2,0,0
"NBCAEPAK_01001",57,97,103,13,0,30
"NBCAEPAK_01002",69,66,70,62,0,78
"NBCAEPAK_01003",580,576,635,428,0,444
"NBCAEPAK_01004",45,73,62,9,0,51
"NBCAEPAK_01005",72,66,69,19,0,39
"NBCAEPAK_01006",445,542,757,40,0,93
"NBCAEPAK_01007",155,168,213,17,0,39
"NBCAEPAK_01008",787,837,1138,58,0,110
"NBCAEPAK_01009",327,374,586,21,0,35
"NBCAEPAK_01010",16,10,6,10,0,19
"NBCAEPAK_01011",32,27,24,10,0,11
"NBCAEPAK_01012",15,19,17,10,0,7
"NBCAEPAK_01013",88,94,112,10,0,16
"NBCAEPAK_01014",12,9,13,5,0,3
"NBCAEPAK_01015",101,117,132,25,0,40
"NBCAEPAK_01016",426,516,512,127,0,154
"NBCAEPAK_01017",238,195,266,61,0,175
"NBCAEPAK_01018",275,311,385,162,0,258
"NBCAEPAK_01019",15,6,4,3,0,18
"NBCAEPAK_01020",5,6,5,4,0,8
"NBCAEPAK_01021",61,60,72,51,0,62
"NBCAEPAK_01022",2,0,0,0,0,0
"NBCAEPAK_01023",17,11,16,12,0,11
"NBCAEPAK_01024",90,105,113,30,0,44
"NBCAEPAK_01025",318,411,399,157,0,297
"NBCAEPAK_01026",2,5,0,6,0,5
"NBCAEPAK_01027",13,23,19,14,0,4
"NBCAEPAK_01028",40,48,42,21,0,17
"NBCAEPAK_01029",17,25,22,36,0,39
"NBCAEPAK_01030",8,14,16,34,0,33
"NBCAEPAK_01032",66,77,96,2,0,10
"NBCAEPAK_01033",113,145,142,21,0,31
"NBCAEPAK_01034",42,75,102,36,0,55
"NBCAEPAK_01035",152,198,208,44,0,93
"NBCAEPAK_01036",89,119,100,33,0,66
"NBCAEPAK_01037",104,110,119,45,0,76
"NBCAEPAK_01038",143,195,157,180,0,219
"NBCAEPAK_01039",25,38,31,25,0,38
"NBCAEPAK_01040",42,50,44,14,0,41
"NBCAEPAK_01041",68,77,83,86,0,91
"NBCAEPAK_01042",102,126,144,17,0,63
"NBCAEPAK_01043",488,580,641,327,0,487
"NBCAEPAK_01044",98,86,83,32,0,55
"NBCAEPAK_01045",7,13,12,50,0,58
"NBCAEPAK_01046",9,7,6,2,0,4
"NBCAEPAK_01047",6,2,10,3,0,7
"NBCAEPAK_01048",143,119,105,652,0,705
"NBCAEPAK_01049",134,112,95,7514,0,8200
"NBCAEPAK_01050",399,427,540,1287,0,1352
"NBCAEPAK_01051",119,119,86,4929,0,5349
"NBCAEPAK_01052",20,12,11,47,0,107
"NBCAEPAK_01053",2,0,2,3,0,5
"NBCAEPAK_01054",0,0,0,5,0,10
"NBCAEPAK_01055",14,5,16,25,0,74
"NBCAEPAK_01056",1,10,3,12,0,3
"NBCAEPAK_01057",4,7,2,6,0,7
"NBCAEPAK_01058",0,2,3,2,0,7
"NBCAEPAK_01059",0,0,1,4,0,10
"NBCAEPAK_01060",0,0,0,0,0,0
"NBCAEPAK_01061",1,2,1,19,0,27
"NBCAEPAK_01062",2,2,4,8,0,16
"NBCAEPAK_01063",4,4,3,9,0,47
"NBCAEPAK_01064",0,0,0,1,0,0
"NBCAEPAK_01065",1,0,1,0,0,3
"NBCAEPAK_01066",1,0,0,0,0,5
"NBCAEPAK_01067",4,0,3,3,0,21
"NBCAEPAK_01068",2,2,1,1,0,0
"NBCAEPAK_01069",6,3,1,10,0,13
"NBCAEPAK_01070",0,0,1,3,0,7
"NBCAEPAK_01071",2,1,1,4,0,0
"NBCAEPAK_01072",0,3,0,3,0,2
"NBCAEPAK_01073",0,0,0,0,0,0
"NBCAEPAK_01074",0,0,0,0,0,0
"NBCAEPAK_01075",0,0,0,0,0,0
"NBCAEPAK_01076",0,0,1,0,0,0
"NBCAEPAK_01077",1,0,6,73,0,86
"NBCAEPAK_01078",447,466,529,308,0,348
"NBCAEPAK_01079",8,11,2,100,0,129
"NBCAEPAK_01080",0,0,0,2,0,4
"NBCAEPAK_01081",15,21,13,5,0,14
"NBCAEPAK_01082",4,1,1,8,0,18
"NBCAEPAK_01083",3,3,3,10,0,16
"NBCAEPAK_01084",0,1,2,3,0,0
"NBCAEPAK_01085",0,0,2,0,0,0
"NBCAEPAK_01086",10,16,5,20,0,26
"NBCAEPAK_01087",25,31,25,30,0,25
"NBCAEPAK_01088",106,81,79,114,0,107
"NBCAEPAK_01089",0,0,0,4,0,2
"NBCAEPAK_01090",1,0,2,6,0,3
"NBCAEPAK_01091",0,1,0,1,0,3
"NBCAEPAK_01092",3,5,2,2,0,14
"NBCAEPAK_01093",3,2,0,25,0,36
"NBCAEPAK_01094",2,2,0,4,0,10
"NBCAEPAK_01095",0,0,2,4,0,4
"NBCAEPAK_01096",0,0,0,2,0,5
"NBCAEPAK_01097",0,1,0,0,0,9
"NBCAEPAK_01098",0,0,1,1,0,2
"NBCAEPAK_01099",20,14,19,41,0,25
"NBCAEPAK_01100",8,1,4,14,0,7
"NBCAEPAK_01101",11,10,5,3,0,11
"NBCAEPAK_01102",0,0,0,0,0,0
"NBCAEPAK_01103",0,0,0,0,0,0
"NBCAEPAK_01104",0,0,0,0,0,0
"NBCAEPAK_01105",2,0,0,0,0,0
"NBCAEPAK_01106",0,0,0,0,0,0
"NBCAEPAK_01107",0,0,0,0,0,0
"NBCAEPAK_01108",0,0,0,0,0,0
"NBCAEPAK_01109",0,0,0,0,0,0
"NBCAEPAK_01111",0,0,0,0,0,0
"NBCAEPAK_01112",0,0,0,0,0,0
"NBCAEPAK_01113",0,0,0,0,0,0
"NBCAEPAK_01114",0,0,0,0,0,0
"NBCAEPAK_01115",0,0,0,0,0,0
"NBCAEPAK_01116",0,0,0,0,0,0
"NBCAEPAK_01117",41,55,60,30,0,25
"NBCAEPAK_01118",58,102,105,86,0,163
"NBCAEPAK_01119",35,53,38,17,0,40
"NBCAEPAK_01120",157,122,161,32,0,48
"NBCAEPAK_01121",142,157,160,20,0,85
"NBCAEPAK_01122",202,206,218,64,0,72
"NBCAEPAK_01123",80,69,87,19,0,67
"NBCAEPAK_01124",45,43,64,18,0,22
"NBCAEPAK_01125",56,48,57,5,0,27
"NBCAEPAK_01126",108,114,135,44,0,35
"NBCAEPAK_01127",78,135,119,26,0,42
"NBCAEPAK_01128",53,73,168,23,0,53
"NBCAEPAK_01129",249,329,327,133,0,213
"NBCAEPAK_01130",75,91,124,44,0,54
"NBCAEPAK_01131",166,187,206,55,0,86
"NBCAEPAK_01132",119,122,134,17,0,31
"NBCAEPAK_01133",137,134,210,20,0,21
"NBCAEPAK_01134",241,280,204,25,0,24
"NBCAEPAK_01135",110,80,129,14,0,25
"NBCAEPAK_01136",467,588,650,61,0,112
"NBCAEPAK_01137",4,6,4,1,0,0
"NBCAEPAK_01138",101,108,135,26,0,24
"NBCAEPAK_01139",33,36,73,10,0,11
"NBCAEPAK_01140",215,292,212,21,0,47
"NBCAEPAK_01141",78,75,78,30,0,18
"NBCAEPAK_01142",97,116,123,24,0,44
"NBCAEPAK_01143",93,128,136,15,0,31
"NBCAEPAK_01144",66,87,100,27,0,55
"NBCAEPAK_01145",75,98,92,23,0,44
"NBCAEPAK_01146",78,88,94,18,0,25
"NBCAEPAK_01147",36,36,70,4,0,19
"NBCAEPAK_01148",225,293,282,74,0,129
"NBCAEPAK_01149",152,121,126,15,0,20
"NBCAEPAK_01150",93,92,114,58,0,25
"NBCAEPAK_01151",106,116,118,26,0,19
"NBCAEPAK_01152",395,410,479,30,0,86
"NBCAEPAK_01153",91,81,81,6,0,24
"NBCAEPAK_01154",147,223,232,24,0,62
