##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	E745-1.L500_SZAXPI015146-56_1_clean.fq.gz
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	1666667
Sequences flagged as poor quality	0
Sequence length	90
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.778217244356554	34.0	31.0	34.0	31.0	34.0
2	33.103904379219124	34.0	33.0	34.0	31.0	34.0
3	33.187148962570205	34.0	33.0	34.0	31.0	34.0
4	36.569495886100825	37.0	37.0	37.0	35.0	37.0
5	36.4859915028017	37.0	37.0	37.0	35.0	37.0
6	36.47731970453606	37.0	37.0	37.0	35.0	37.0
7	36.4785605042879	37.0	37.0	37.0	35.0	37.0
8	36.47678990464202	37.0	37.0	37.0	35.0	37.0
9	38.335783332843334	39.0	39.0	39.0	37.0	39.0
10-11	38.32439713512058	39.0	39.0	39.0	37.0	39.0
12-13	38.31360613727877	39.0	39.0	39.0	37.0	39.0
14-15	39.88311612337678	41.0	40.0	41.0	38.0	41.0
16-17	39.8557690288462	41.0	40.0	41.0	38.0	41.0
18-19	39.82892503421499	41.0	40.0	41.0	38.0	41.0
20-21	39.78111824377635	41.0	40.0	41.0	38.0	41.0
22-23	39.70299495940101	41.0	40.0	41.0	37.5	41.0
24-25	39.62149337570132	40.5	39.5	41.0	37.0	41.0
26-27	39.49912070017586	40.0	39.0	41.0	37.0	41.0
28-29	39.638594272281146	41.0	39.5	41.0	37.0	41.0
30-31	39.66506656698668	41.0	40.0	41.0	37.0	41.0
32-33	39.63452087309582	41.0	40.0	41.0	37.0	41.0
34-35	39.579667684066465	41.0	39.5	41.0	37.0	41.0
36-37	39.51236929752614	40.5	39.0	41.0	37.0	41.0
38-39	39.426611314677736	40.0	39.0	41.0	37.0	41.0
40-41	39.351102529779496	40.0	39.0	41.0	36.5	41.0
42-43	39.25704924859015	40.0	39.0	41.0	36.0	41.0
44-45	39.164750367049926	40.0	39.0	41.0	36.0	41.0
46-47	39.17888456422308	40.0	39.0	41.0	36.0	41.0
48-49	39.17556416488716	40.0	39.0	41.0	36.0	41.0
50-51	39.086577582684484	40.0	38.5	41.0	36.0	41.0
52-53	38.95232880953424	40.0	38.0	41.0	35.0	41.0
54-55	38.77744804451039	40.0	38.0	41.0	35.0	41.0
56-57	38.540183491963305	40.0	38.0	41.0	35.0	41.0
58-59	38.30451103909779	40.0	37.0	41.0	34.0	41.0
60-61	38.01370309725938	39.0	37.0	41.0	34.0	41.0
62-63	37.68725756254848	39.0	36.0	40.5	34.0	41.0
64-65	37.318085736382855	38.5	36.0	40.0	33.0	41.0
66-67	36.90326321934735	38.0	35.0	40.0	33.0	41.0
68-69	36.46367210726558	37.0	35.0	39.5	32.0	41.0
70-71	36.018925796214845	36.5	35.0	39.0	32.0	40.5
72-73	35.5452009909598	36.0	34.5	38.5	31.0	40.0
74-75	35.06114568777086	35.5	34.0	37.5	31.0	39.5
76-77	33.27108744578251	34.0	32.0	36.0	28.5	38.5
78-79	34.17524826495035	35.0	34.0	36.0	30.0	39.0
80-81	34.04907639018472	35.0	34.0	36.0	30.0	37.5
82-83	33.72474375505125	35.0	34.0	36.0	30.0	37.0
84-85	33.3724730255054	35.0	33.5	35.5	30.0	37.0
86-87	32.95653090869382	35.0	33.0	35.0	29.0	36.0
88-89	32.49033280193344	35.0	33.0	35.0	29.0	36.0
90	32.02032379593524	35.0	33.0	35.0	28.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.06291861081436423
1101	2	0.04758357386204892
1101	3	0.0372950527520004
1101	4	0.05473236631100775
1101	5	0.10239806342336522
1101	6	-0.4403286260286734
1101	7	-0.27754179649276267
1101	8	0.011414743173226327
1101	9	0.13848279912749462
1101	10-11	0.05051902233669381
1101	12-13	-0.10735012775423058
1101	14-15	-0.17655738268800292
1101	16-17	0.10502022021098867
1101	18-19	0.18266548173675545
1101	20-21	0.23841574658765552
1101	22-23	0.28691002691633827
1101	24-25	0.28997212464084043
1101	26-27	0.33714610706061876
1101	28-29	0.24986153781618015
1101	30-31	0.2124752708787767
1101	32-33	0.17231241028831334
1101	34-35	0.19926919289974876
1101	36-37	0.18189663813625145
1101	38-39	0.14910492806234998
1101	40-41	0.2225362445504544
1101	42-43	0.21123680303016812
1101	44-45	0.1402068544536874
1101	46-47	0.32022285622014124
1101	48-49	0.3083138500573881
1101	50-51	0.37726040812113126
1101	52-53	0.38380873980065644
1101	54-55	0.3940842103530713
1101	56-57	0.3828907364967833
1101	58-59	0.36326555326142085
1101	60-61	0.4457990957158273
1101	62-63	0.4205729732290493
1101	64-65	0.5029260860701541
1101	66-67	0.3371985475376391
1101	68-69	0.2227534700381355
1101	70-71	0.2603209382108389
1101	72-73	0.3847743082411412
1101	74-75	0.46487498212327694
1101	76-77	0.5555872538469799
1101	78-79	0.5121608315712507
1101	80-81	0.5264517608151493
1101	82-83	0.4666032435559302
1101	84-85	0.5777636644655786
1101	86-87	0.7013593594772587
1101	88-89	0.7681752049397517
1101	90	1.0317726258054094
1102	1	0.028297381988700465
1102	2	0.05626476175869044
1102	3	-0.03554541947972467
1102	4	0.03187564813846677
1102	5	-0.052406507224162624
1102	6	0.08837898532256361
1102	7	0.1322493157184752
1102	8	-0.23686008532307312
1102	9	0.05438666410540094
1102	10-11	0.07507598519132586
1102	12-13	0.1444994731197582
1102	14-15	0.13681427550558567
1102	16-17	0.18432912587336148
1102	18-19	0.16691352193578268
1102	20-21	0.249555937284498
1102	22-23	0.25834900779731385
1102	24-25	0.2462944469730033
1102	26-27	0.35383663591257175
1102	28-29	0.28115227423126754
1102	30-31	0.2584992432129738
1102	32-33	0.22912258174185496
1102	34-35	0.22712028385510763
1102	36-37	0.18120708137915642
1102	38-39	0.2163478700865582
1102	40-41	0.24218600172123672
1102	42-43	0.3037284655969543
1102	44-45	0.2983759318050403
1102	46-47	0.3953877673629336
1102	48-49	0.38370079929490686
1102	50-51	0.2909617043363326
1102	52-53	0.2759078484338957
1102	54-55	0.2951674163907043
1102	56-57	0.37497946492586465
1102	58-59	0.38308181341103875
1102	60-61	0.3824084480955108
1102	62-63	0.41952430645059735
1102	64-65	0.5011686683701271
1102	66-67	0.5390585593264419
1102	68-69	0.434752760826548
1102	70-71	0.4715607542990057
1102	72-73	0.5128832254507216
1102	74-75	0.5587514908613826
1102	76-77	0.7229959925047567
1102	78-79	0.5619740902653874
1102	80-81	0.5308000324292621
1102	82-83	0.6997367937884391
1102	84-85	0.8058012919890487
1102	86-87	0.7820571036971486
1102	88-89	0.8005561698974546
1102	90	0.8087275284249671
1103	1	0.15726508785260762
1103	2	0.11222896671893778
1103	3	0.08001840535833082
1103	4	0.060003245454502974
1103	5	0.11283921504711003
1103	6	0.08112440516920572
1103	7	0.12409709110694678
1103	8	0.10712100245469713
1103	9	-0.010540744955058301
1103	10-11	0.13104560671216348
1103	12-13	0.12107239717776963
1103	14-15	0.08590477479812364
1103	16-17	0.14616930604019984
1103	18-19	0.07561483533135771
1103	20-21	0.156298110805821
1103	22-23	0.19049244313652736
1103	24-25	0.18184023466428556
1103	26-27	0.24678403328530152
1103	28-29	0.19301144245218183
1103	30-31	0.19799099529578967
1103	32-33	0.1364962359522366
1103	34-35	0.17387278495196057
1103	36-37	0.20071331975236006
1103	38-39	0.21611826810144663
1103	40-41	0.21098194844876872
1103	42-43	0.22694074481945137
1103	44-45	0.25033480085126314
1103	46-47	0.38904903732972684
1103	48-49	0.3259923113639047
1103	50-51	0.30888720977666395
1103	52-53	0.35862835812020677
1103	54-55	0.28383356427123374
1103	56-57	0.29390318229936696
1103	58-59	0.3242191466938138
1103	60-61	0.358536010504821
1103	62-63	0.32326600632379154
1103	64-65	0.3401883371053174
1103	66-67	0.3952652757412096
1103	68-69	0.4713684095108377
1103	70-71	0.3933170319422743
1103	72-73	0.45507799172914076
1103	74-75	0.5302373617630778
1103	76-77	0.6236015037949727
1103	78-79	0.5936854947133412
1103	80-81	0.6270973017003314
1103	82-83	0.6185979197950999
1103	84-85	0.7060450973997092
1103	86-87	0.8887523637853434
1103	88-89	0.9183626012807622
1103	90	1.0766754524077555
1104	1	0.06673319150046808
1104	2	0.04723097408767529
1104	3	0.09473853133264498
1104	4	0.04100044380940915
1104	5	0.1186133266672158
1104	6	0.13400881628178496
1104	7	0.10162409953789364
1104	8	0.11779604197341342
1104	9	0.11024128775074615
1104	10-11	0.12225090373770087
1104	12-13	0.12145089240561191
1104	14-15	0.22789294562997497
1104	16-17	0.13696619240752028
1104	18-19	0.18170232192361624
1104	20-21	0.2051010166780003
1104	22-23	0.18076776047853826
1104	24-25	0.250164042751166
1104	26-27	0.27818352914525946
1104	28-29	0.18728805699662843
1104	30-31	0.11391606277893374
1104	32-33	0.10799810328207116
1104	34-35	0.09741544825769921
1104	36-37	0.21072761846097166
1104	38-39	0.1895798128995878
1104	40-41	0.2143242390689366
1104	42-43	0.22640400130048022
1104	44-45	0.24114989661098463
1104	46-47	0.29135347929423006
1104	48-49	0.22961650072078044
1104	50-51	0.27373397773957464
1104	52-53	0.2618519408441813
1104	54-55	0.3127834632958155
1104	56-57	0.37013116736073215
1104	58-59	0.32926184771900324
1104	60-61	0.3462134545304423
1104	62-63	0.3641937835379423
1104	64-65	0.38006994137013095
1104	66-67	0.3725980506531741
1104	68-69	0.4406179484230037
1104	70-71	0.38357240566404016
1104	72-73	0.4088868329961315
1104	74-75	0.4268769484618957
1104	76-77	0.5224266511393125
1104	78-79	0.5238333983353698
1104	80-81	0.47000010429924544
1104	82-83	0.4986357433044688
1104	84-85	0.6007956764150322
1104	86-87	0.8016880560153936
1104	88-89	0.9237144284198635
